dataset,model,metric,MSI,note
ToN-IoT,RandomForest,macro_f1,0.0041,
ToN-IoT,RandomForest,mcc,0.0115,
ToN-IoT,XGBoost,macro_f1,0.0067,
ToN-IoT,XGBoost,mcc,0.0104,
ToN-IoT,MLP,macro_f1,0.1273,
ToN-IoT,MLP,mcc,0.1112,
UNSW-NB15,RandomForest,macro_f1,0.0292,
UNSW-NB15,RandomForest,mcc,0.1604,
UNSW-NB15,XGBoost,macro_f1,0.0403,
UNSW-NB15,XGBoost,mcc,0.1713,
UNSW-NB15,MLP,macro_f1,0.1600,
UNSW-NB15,MLP,mcc,0.0720,
NSL-KDD,RandomForest,macro_f1,0.0793,
NSL-KDD,RandomForest,mcc,0.1666,
NSL-KDD,XGBoost,macro_f1,0.0613,
NSL-KDD,XGBoost,mcc,0.1353,
NSL-KDD,MLP,macro_f1,0.0818,
NSL-KDD,MLP,mcc,0.2801,
CIC-IDS2017,RandomForest,macro_f1,0.0828,
CIC-IDS2017,RandomForest,mcc,0.0097,
CIC-IDS2017,XGBoost,macro_f1,0.0543,
CIC-IDS2017,XGBoost,mcc,0.0089,
CIC-IDS2017,MLP,macro_f1,0.1332,
CIC-IDS2017,MLP,mcc,0.0457,
BoT-IoT,RandomForest,macro_f1,0.0591,
BoT-IoT,RandomForest,mcc,0.0396,
BoT-IoT,XGBoost,macro_f1,0.0493,
BoT-IoT,XGBoost,mcc,0.0288,
BoT-IoT,MLP,macro_f1,0.2535,
BoT-IoT,MLP,mcc,0.0541,
HIKARI-2021,RandomForest,macro_f1,0.1616,class-set-change artefact at IR=100; not genuine instability (see Section 5.5.2 of the paper)
HIKARI-2021,RandomForest,mcc,0.0056,
HIKARI-2021,XGBoost,macro_f1,0.0035,
HIKARI-2021,XGBoost,mcc,0.0002,
HIKARI-2021,MLP,macro_f1,0.1701,same class-set-change artefact as RF
HIKARI-2021,MLP,mcc,0.0053,
CICIoT2023,RandomForest,macro_f1,0.1800,
CICIoT2023,RandomForest,mcc,0.4402,
CICIoT2023,XGBoost,macro_f1,0.2507,
CICIoT2023,XGBoost,mcc,0.4121,
CICIoT2023,MLP,macro_f1,0.2293,
CICIoT2023,MLP,mcc,0.4552,
CSE-CIC-IDS2018,RandomForest,macro_f1,0.3425,
CSE-CIC-IDS2018,RandomForest,mcc,0.7019,
CSE-CIC-IDS2018,XGBoost,macro_f1,0.4038,
CSE-CIC-IDS2018,XGBoost,mcc,,invalid/degenerate: majority-class prediction collapse (MCC approx 0 across scenarios)
CSE-CIC-IDS2018,MLP,macro_f1,0.4052,
CSE-CIC-IDS2018,MLP,mcc,,invalid/degenerate: same majority-class collapse as XGBoost
